Data,Value,Open,Max,Min,Vol.[M],Var. %,Day,Month,Year
1/9/2022,131.05,132.62,138.23,128.34,9.03,-1.13,1,9,2022
1/8/2022,132.55,131.42,142.67,125.14,4.72,0.38,1,8,2022
1/7/2022,132.05,121.65,133.39,120.1,4.6,8.61,1,7,2022
1/6/2022,121.58,128.5,128.92,117.9,170.93,-5.48,1,6,2022
1/5/2022,128.63,154.96,154.99,117.27,272.15,-15.92,1,5,2022
1/4/2022,152.99,149.66,160.77,148.84,142.41,2.73,1,4,2022
1/3/2022,148.92,136,150.54,135.03,9.04,10.18,1,3,2022
1/2/2022,135.16,139.21,141.99,132.01,162.4,-3.33,1,2,2022
1/1/2022,139.81,144,146.63,133.95,165.59,-3.37,1,1,2022
1/12/2021,144.69,140.51,146.53,135.24,238.68,2.89,1,12,2021
1/11/2021,140.63,149.98,152,140.01,176.12,-5.88,1,11,2021
1/10/2021,149.42,139.26,150.55,134.71,138,7.2,1,10,2021
1/9/2021,139.38,147.56,149.65,139.25,151.23,-5.89,1,9,2021
1/8/2021,148.1,142.83,152.57,141.67,181.38,3.89,1,8,2021
1/7/2021,142.55,140.41,143.86,138.22,131.89,1.08,1,7,2021
1/6/2021,141.02,142.21,142.8,134.4,169.11,-0.71,1,6,2021
1/5/2021,142.03,139.68,144.58,135.76,174.78,1.52,1,5,2021
1/4/2021,139.91,135.94,141.77,135.33,153.13,3,1,4,2021
1/3/2021,135.83,131.58,137.59,126.28,246.56,4.55,1,3,2021
1/2/2021,129.92,140.91,147.5,129.86,185.15,-7.52,1,2,2021
1/1/2021,140.49,144.3,149.93,140.35,150.2,-2.54,1,1,2021
1/12/2020,144.15,153.6,153.66,142.3,170.4,-5.65,1,12,2020
1/11/2020,152.79,140.59,153.4,139.03,137.98,10.12,1,11,2020
1/10/2020,138.75,140.8,146.6,137.37,129.01,-0.83,1,10,2020
1/9/2020,139.91,141.2,151.33,134.75,268.78,0.76,1,9,2020
1/8/2020,138.85,129.91,141.07,128.27,230.03,7.3,1,8,2020
1/7/2020,129.4,119.45,134.13,118.22,197.46,8.03,1,7,2020
1/6/2020,119.78,123.44,124.41,117.01,185.85,-3.45,1,6,2020
1/5/2020,124.06,121.48,131.99,120.78,186.96,2.06,1,5,2020
1/4/2020,121.55,112.15,133.38,111.8,207.17,6.98,1,4,2020
1/3/2020,113.62,107.6,128.08,102,318.98,5.52,1,3,2020
1/2/2020,107.68,114.9,119.95,104.37,132.47,-5.95,1,2,2020
1/1/2020,114.49,118.86,119.89,112.68,127.84,-3.66,1,1,2020
1/12/2019,118.84,119.15,122.12,117.42,98.64,-0.21,1,12,2019
1/11/2019,119.09,117.92,125.38,117.08,117,1.56,1,11,2019
1/10/2019,117.26,118.85,120.71,114.58,98.99,-1.2,1,10,2019
1/9/2019,118.68,113.68,119.86,113.49,108.09,3.87,1,9,2019
1/8/2019,114.26,110.32,115.38,104.84,157.93,3.52,1,8,2019
1/7/2019,110.38,111.3,115.49,109.63,91.29,-0.1,1,7,2019
1/6/2019,110.49,101.63,112.22,101.4,121.53,8.92,1,6,2019
1/5/2019,101.44,102.77,103.96,98.85,155.77,-1.36,1,5,2019
1/4/2019,102.84,97.97,104.14,96.79,110.61,5.44,1,4,2019
1/3/2019,97.53,99.47,100.49,96.53,141.15,-1.47,1,3,2019
1/2/2019,98.99,95.92,104.18,93.11,166.8,3.3,1,2,2019
1/1/2019,95.83,91.64,99.35,91.64,160.74,2.88,1,1,2019
1/12/2018,93.15,98.02,99.59,85.78,186.31,-4.61,1,12,2018
1/11/2018,97.65,99.96,106.21,93.31,191.94,-2.62,1,11,2018
1/10/2018,100.28,94.29,102.6,92.89,216.42,6.78,1,10,2018
1/9/2018,93.91,95.8,97.66,93.69,127.21,-2.03,1,9,2018
1/8/2018,95.86,88.86,100.21,87.62,205.66,7.43,1,8,2018
1/7/2018,89.23,85.65,89.66,83.4,117.61,4.18,1,7,2018
1/6/2018,85.65,83.04,87.49,82.37,185.82,3.77,1,6,2018
1/5/2018,82.54,87.67,88.1,81.78,248.48,-6.69,1,5,2018
1/4/2018,88.46,88,89.66,84.84,164.18,-0.57,1,4,2018
1/3/2018,88.97,90.17,90.5,85.28,256,-1.16,1,3,2018
1/2/2018,90.01,105.96,106.56,90,307.53,-15.56,1,2,2018
1/1/2018,106.6,99.3,109.98,98.52,169.69,7.95,1,1,2018
1/12/2017,98.75,97.61,99.91,96.14,166.77,1.56,1,12,2017
1/11/2017,97.23,87.07,100.13,87,222.7,11.36,1,11,2017
1/10/2017,87.31,77.9,89.11,77.5,198.78,11.74,1,10,2017
1/9/2017,78.14,78.31,81.12,77.73,161.15,0.09,1,9,2017
1/8/2017,78.07,80.25,81.99,77.5,203.65,-2.4,1,8,2017
1/7/2017,79.99,75.84,80.34,73.13,143.45,5.7,1,7,2017
1/6/2017,75.68,78.64,80.47,73.29,247.52,-3.72,1,6,2017
1/5/2017,78.6,75.09,79.44,74.96,182.42,4.55,1,5,2017
1/4/2017,75.18,72.08,75.77,71.38,127.53,4.3,1,4,2017
1/3/2017,72.08,70.97,72.56,69.33,191.11,1.62,1,3,2017
1/2/2017,70.93,66.46,72.8,66.04,207.97,6.28,1,2,2017
1/1/2017,66.74,69.24,69.63,65.28,181.83,-3.44,1,1,2017
1/12/2016,69.12,70.25,72.48,68.83,162.53,-1.86,1,12,2016
1/11/2016,70.43,69.98,72.09,68.12,210.41,0.59,1,11,2016
1/10/2016,70.02,71.83,72.57,67.07,170.72,-2.91,1,10,2016
1/9/2016,72.12,71.57,73.19,70.3,177.02,0.95,1,9,2016
1/8/2016,71.44,72.81,75.19,70.89,212.46,-2.1,1,8,2016
1/7/2016,72.97,73.13,74.35,72.42,137.46,-0.07,1,7,2016
1/6/2016,73.02,70.5,73.19,70.14,185.96,3.16,1,6,2016
1/5/2016,70.78,66.62,71.38,62.72,232.98,5.85,1,5,2016
1/4/2016,66.87,68.02,70.08,66.36,141.25,-2.37,1,4,2016
1/3/2016,68.49,66.65,69.19,64.88,203.11,3.24,1,3,2016
1/2/2016,66.34,65.91,68.2,62.35,263.1,-0.03,1,2,2016
1/1/2016,66.36,60.5,66.53,60.2,264.67,8.25,1,1,2016
1/12/2015,61.3,59.13,61.87,58.31,226.98,4.18,1,12,2015
1/11/2015,58.84,57.29,61.47,56.3,224.63,2.8,1,11,2015
1/10/2015,57.24,64.76,67.95,57.16,347.24,-11.72,1,10,2015
1/9/2015,64.84,63.8,67.01,62.91,190.81,0.17,1,9,2015
1/8/2015,64.73,71.84,73.69,61.5,227.42,-10.07,1,8,2015
1/7/2015,71.98,71.6,74.14,70.36,150.42,1.48,1,7,2015
1/6/2015,70.93,74.69,75.2,70.78,176.57,-4.5,1,6,2015
1/5/2015,74.27,78.2,79.94,74.15,151.13,-4.84,1,5,2015
1/4/2015,78.05,82.28,82.28,77.55,143.69,-5.11,1,4,2015
1/3/2015,82.25,83.89,84,80.54,142.53,-2,1,3,2015
1/2/2015,83.93,84.79,88,82.55,138.54,-1.24,1,2,2015
1/1/2015,84.98,86.27,90.97,84.9,158.93,-1.05,1,1,2015
1/12/2014,85.88,86.72,87.44,82.65,138.97,-1.9,1,12,2014
1/11/2014,87.54,76.35,88.09,75.59,159.25,14.78,1,11,2014
1/10/2014,76.27,76.51,79.37,72.61,177.41,-0.26,1,10,2014
1/9/2014,76.47,75.42,77.73,75.41,120.41,1.28,1,9,2014
1/8/2014,75.5,73.32,76.2,72.77,114.73,2.61,1,8,2014
1/7/2014,73.58,75.27,77.57,73.54,120.22,-1.98,1,7,2014
1/6/2014,75.07,76.58,77.76,74.67,125.93,-2.21,1,6,2014
1/5/2014,76.77,79.73,79.76,75.24,121.62,-3.69,1,5,2014
1/4/2014,79.71,76.76,79.98,76.29,133.63,4.29,1,4,2014
1/3/2014,76.43,74.49,77.53,73.83,143.43,2.32,1,3,2014
1/2/2014,74.7,74.19,75.98,72.27,141.14,0.03,1,2,2014
1/1/2014,74.68,78.72,79.47,73.64,146.57,-5.1,1,1,2014
1/12/2013,78.69,80.89,81.37,76.81,117.76,-2.86,1,12,2013
1/11/2013,81.01,76.97,81.35,76.59,113.18,5.55,1,11,2013
1/10/2013,76.75,73.87,77.63,71.51,151.02,3.77,1,10,2013
1/9/2013,73.96,73.48,76.73,72.19,124.2,1.34,1,9,2013
1/8/2013,72.98,78.42,79,72.23,133.87,-6.36,1,8,2013
1/7/2013,77.94,74.99,78.69,74.09,113.06,4.63,1,7,2013
1/6/2013,74.49,75.06,76.87,72.9,162.64,-0.47,1,6,2013
1/5/2013,74.84,77.85,79.96,74.82,162.32,-3.71,1,5,2013
1/4/2013,77.72,75,79.5,74.9,165.13,3.86,1,4,2013
1/3/2013,74.83,70.78,75.11,70.78,151.49,5.72,1,3,2013
1/2/2013,70.78,70.11,71.95,68.13,205.5,1.19,1,2,2013
1/1/2013,69.95,68.93,70.44,67.72,152.02,2.52,1,1,2013
1/12/2012,68.23,72.11,72.7,67.37,198.46,-5.26,1,12,2012
1/11/2012,72.02,75.13,75.16,67.66,193.71,-4,1,11,2012
1/10/2012,75.02,73.8,77.6,73.63,144.86,1.65,1,10,2012
1/9/2012,73.8,72.77,75.19,72.57,121.61,1.65,1,9,2012
1/8/2012,72.6,74.7,74.96,71.35,163.63,-2.46,1,8,2012
1/7/2012,74.43,69.6,75.24,69.15,210.71,6.76,1,7,2012
1/6/2012,69.72,65.43,69.72,65.13,229.3,5.93,1,6,2012
1/5/2012,65.82,58.95,66.66,58.27,247.12,11.73,1,5,2012
1/4/2012,58.91,61.08,62.49,57.18,251.3,-3.74,1,4,2012
1/3/2012,61.2,59.36,61.5,58.64,185.84,3.59,1,3,2012
1/2/2012,59.08,61.79,62.63,58.21,199.35,-3.72,1,2,2012
1/1/2012,61.36,59.97,62,58.37,163.6,2.68,1,1,2012
1/12/2011,59.76,58.64,60,57.42,193.63,1.46,1,12,2011
1/11/2011,58.9,55.82,59.4,55.68,222.13,3.84,1,11,2011
1/10/2011,56.72,51.88,57.96,51.63,268.83,9.29,1,10,2011
1/9/2011,51.9,53.2,53.55,49.94,275.88,-2.43,1,9,2011
1/8/2011,53.19,52.79,53.49,48.31,424.55,0.91,1,8,2011
1/7/2011,52.71,53.19,54.81,52.66,198.12,-0.81,1,7,2011
1/6/2011,53.14,54.98,55.17,51.79,282.61,-3.77,1,6,2011
1/5/2011,55.22,55.08,56.47,54.19,195.79,0.44,1,5,2011
