"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"01.09.2022","133,11","132,62","138,23","128,34","5,61M","0,42%"
"01.08.2022","132,55","131,42","142,67","125,14","4,72M","0,38%"
"01.07.2022","132,05","121,65","133,39","120,10","4,60M","8,61%"
"01.06.2022","121,58","128,50","128,92","117,90","170,93M","-5,48%"
"01.05.2022","128,63","154,96","154,99","117,27","272,15M","-15,92%"
"01.04.2022","152,99","149,66","160,77","148,84","142,41M","2,73%"
"01.03.2022","148,92","136,00","150,54","135,03","9,04M","10,18%"
"01.02.2022","135,16","139,21","141,99","132,01","162,40M","-3,33%"
"01.01.2022","139,81","144,00","146,63","133,95","165,59M","-3,37%"
"01.12.2021","144,69","140,51","146,53","135,24","238,68M","2,89%"
"01.11.2021","140,63","149,98","152,00","140,01","176,12M","-5,88%"
"01.10.2021","149,42","139,26","150,55","134,71","138,00M","7,20%"
"01.09.2021","139,38","147,56","149,65","139,25","151,23M","-5,89%"
"01.08.2021","148,10","142,83","152,57","141,67","181,38M","3,89%"
"01.07.2021","142,55","140,41","143,86","138,22","131,89M","1,08%"
"01.06.2021","141,02","142,21","142,80","134,40","169,11M","-0,71%"
"01.05.2021","142,03","139,68","144,58","135,76","174,78M","1,52%"
"01.04.2021","139,91","135,94","141,77","135,33","153,13M","3,00%"
"01.03.2021","135,83","131,58","137,59","126,28","246,56M","4,55%"
"01.02.2021","129,92","140,91","147,50","129,86","185,15M","-7,52%"
"01.01.2021","140,49","144,30","149,93","140,35","150,20M","-2,54%"
"01.12.2020","144,15","153,60","153,66","142,30","170,40M","-5,65%"
"01.11.2020","152,79","140,59","153,40","139,03","137,98M","10,12%"
"01.10.2020","138,75","140,80","146,60","137,37","129,01M","-0,83%"
"01.09.2020","139,91","141,20","151,33","134,75","268,78M","0,76%"
"01.08.2020","138,85","129,91","141,07","128,27","230,03M","7,30%"
"01.07.2020","129,40","119,45","134,13","118,22","197,46M","8,03%"
"01.06.2020","119,78","123,44","124,41","117,01","185,85M","-3,45%"
"01.05.2020","124,06","121,48","131,99","120,78","186,96M","2,06%"
"01.04.2020","121,55","112,15","133,38","111,80","207,17M","6,98%"
"01.03.2020","113,62","107,60","128,08","102,00","318,98M","5,52%"
"01.02.2020","107,68","114,90","119,95","104,37","132,47M","-5,95%"
"01.01.2020","114,49","118,86","119,89","112,68","127,84M","-3,66%"
"01.12.2019","118,84","119,15","122,12","117,42","98,64M","-0,21%"
"01.11.2019","119,09","117,92","125,38","117,08","117,00M","1,56%"
"01.10.2019","117,26","118,85","120,71","114,58","98,99M","-1,20%"
"01.09.2019","118,68","113,68","119,86","113,49","108,09M","3,87%"
"01.08.2019","114,26","110,32","115,38","104,84","157,93M","3,52%"
"01.07.2019","110,38","111,30","115,49","109,63","91,29M","-0,10%"
"01.06.2019","110,49","101,63","112,22","101,40","121,53M","8,92%"
"01.05.2019","101,44","102,77","103,96","98,85","155,77M","-1,36%"
"01.04.2019","102,84","97,97","104,14","96,79","110,61M","5,44%"
"01.03.2019","97,53","99,47","100,49","96,53","141,15M","-1,47%"
"01.02.2019","98,99","95,92","104,18","93,11","166,80M","3,30%"
"01.01.2019","95,83","91,64","99,35","91,64","160,74M","2,88%"
"01.12.2018","93,15","98,02","99,59","85,78","186,31M","-4,61%"
"01.11.2018","97,65","99,96","106,21","93,31","191,94M","-2,62%"
"01.10.2018","100,28","94,29","102,60","92,89","216,42M","6,78%"
"01.09.2018","93,91","95,80","97,66","93,69","127,21M","-2,03%"
"01.08.2018","95,86","88,86","100,21","87,62","205,66M","7,43%"
"01.07.2018","89,23","85,65","89,66","83,40","117,61M","4,18%"
"01.06.2018","85,65","83,04","87,49","82,37","185,82M","3,77%"
"01.05.2018","82,54","87,67","88,10","81,78","248,48M","-6,69%"
"01.04.2018","88,46","88,00","89,66","84,84","164,18M","-0,57%"
"01.03.2018","88,97","90,17","90,50","85,28","256,00M","-1,16%"
"01.02.2018","90,01","105,96","106,56","90,00","307,53M","-15,56%"
"01.01.2018","106,60","99,30","109,98","98,52","169,69M","7,95%"
"01.12.2017","98,75","97,61","99,91","96,14","166,77M","1,56%"
"01.11.2017","97,23","87,07","100,13","87,00","222,70M","11,36%"
"01.10.2017","87,31","77,90","89,11","77,50","198,78M","11,74%"
"01.09.2017","78,14","78,31","81,12","77,73","161,15M","0,09%"
"01.08.2017","78,07","80,25","81,99","77,50","203,65M","-2,40%"
"01.07.2017","79,99","75,84","80,34","73,13","143,45M","5,70%"
"01.06.2017","75,68","78,64","80,47","73,29","247,52M","-3,72%"
"01.05.2017","78,60","75,09","79,44","74,96","182,42M","4,55%"
"01.04.2017","75,18","72,08","75,77","71,38","127,53M","4,30%"
"01.03.2017","72,08","70,97","72,56","69,33","191,11M","1,62%"
"01.02.2017","70,93","66,46","72,80","66,04","207,97M","6,28%"
"01.01.2017","66,74","69,24","69,63","65,28","181,83M","-3,44%"
"01.12.2016","69,12","70,25","72,48","68,83","162,53M","-1,86%"
"01.11.2016","70,43","69,98","72,09","68,12","210,41M","0,59%"
"01.10.2016","70,02","71,83","72,57","67,07","170,72M","-2,91%"
"01.09.2016","72,12","71,57","73,19","70,30","177,02M","0,95%"
"01.08.2016","71,44","72,81","75,19","70,89","212,46M","-2,10%"
"01.07.2016","72,97","73,13","74,35","72,42","137,46M","-0,07%"
"01.06.2016","73,02","70,50","73,19","70,14","185,96M","3,16%"
"01.05.2016","70,78","66,62","71,38","62,72","232,98M","5,85%"
"01.04.2016","66,87","68,02","70,08","66,36","141,25M","-2,37%"
"01.03.2016","68,49","66,65","69,19","64,88","203,11M","3,24%"
"01.02.2016","66,34","65,91","68,20","62,35","263,10M","-0,03%"
"01.01.2016","66,36","60,50","66,53","60,20","264,67M","8,25%"
"01.12.2015","61,30","59,13","61,87","58,31","226,98M","4,18%"
"01.11.2015","58,84","57,29","61,47","56,30","224,63M","2,80%"
"01.10.2015","57,24","64,76","67,95","57,16","347,24M","-11,72%"
"01.09.2015","64,84","63,80","67,01","62,91","190,81M","0,17%"
"01.08.2015","64,73","71,84","73,69","61,50","227,42M","-10,07%"
"01.07.2015","71,98","71,60","74,14","70,36","150,42M","1,48%"
"01.06.2015","70,93","74,69","75,20","70,78","176,57M","-4,50%"
"01.05.2015","74,27","78,20","79,94","74,15","151,13M","-4,84%"
"01.04.2015","78,05","82,28","82,28","77,55","143,69M","-5,11%"
"01.03.2015","82,25","83,89","84,00","80,54","142,53M","-2,00%"
"01.02.2015","83,93","84,79","88,00","82,55","138,54M","-1,24%"
"01.01.2015","84,98","86,27","90,97","84,90","158,93M","-1,05%"
"01.12.2014","85,88","86,72","87,44","82,65","138,97M","-1,90%"
"01.11.2014","87,54","76,35","88,09","75,59","159,25M","14,78%"
"01.10.2014","76,27","76,51","79,37","72,61","177,41M","-0,26%"
"01.09.2014","76,47","75,42","77,73","75,41","120,41M","1,28%"
"01.08.2014","75,50","73,32","76,20","72,77","114,73M","2,61%"
